Item Number/SKU,UPC,Item Name,Item Title,Item Description,Price,Style/Model-Number/Name,Primary Category,Sub-Category,Product Category,Color,Size,Material,Weight,Product Attribute Type #1,Product Attribute #1,Product Attribute Type #2,Product Attribute #2,Product Attribute Type #3,Product Attribute #3,Product Attribute Type #4,Product Attribute #4,Product Attribute Type #5,Product Attribute #5,Product Attribute Type #6,Product Attribute #6,Product Attribute Type #7,Product Attribute #7,Product Attribute Type #8,Product Attribute #8,Product Attribute Type #9,Product Attribute #9,Product Attribute Type #10,Product Attribute #10,Product Attribute Type #11,Product Attribute #11,Product Attribute Type #12,Product Attribute #12,Product Attribute Type #13,Product Attribute #13,Product Attribute Type #14,Product Attribute #14,Product Attribute Type #15,Product Attribute #15,Product Attribute Type #16,Product Attribute #16,Product Attribute Type #17,Product Attribute #17,Product Attribute Type #18,Product Attribute #18,Product Attribute Type #19,Product Attribute #19,Product Attribute Type #20,Product Attribute #20,Product Attribute Type #21,Product Attribute #21,Product Attribute Type #22,Product Attribute #22,Product Attribute Type #23,Product Attribute #23,Product Attribute Type #24,Product Attribute #24,Product Attribute Type #25,Product Attribute #25,Product Attribute Type #26,Product Attribute #26,Product Attribute Type #27,Product Attribute #27,Product Attribute Type #28,Product Attribute #28,Product Attribute Type #29,Product Attribute #29,Product Attribute Type #30,Product Attribute #30,Heading 1,Heading 2,Heading 3,H1 Description,H2 Description,H3 Description
8857425124,123140,Frilly Pillow,The Amazing cool sleeping pillow.,This pillow sleeps cool on both sides all night long.,19.99,15587,Fill in once uploaded,Fill in once uploaded,Fill in once uploaded,white,S ,Gel,4.58,Size,M,Size,L,Length,25,Length,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overview,Details,,"Why choose between soft and supportive when you could have both? We invented a unique pillow-in-pillow design that’s built to satisfy all sleepers. The inner pillow is supportive, while the outer pillow adds a soft touch of fluff.",100% cotton coverPolyester fabric liningPolyester microfiber fill,
155843962,78512,Matte Pomade,The MATTE POMADE 3 OZ.,"THE DIRTY BYRD FORMULA IS A MATTE FINISH POMADE OFFERING A MEDIUM HOLD TO DEFINE AND SHAPE ANY HAIR TYPE WHILE LEAVING A CASUAL LOOK & FEEL. WATER BASED AND EASY TO WASH OUT, THIS POMADE LEAVES YOUR HAIRDO HIGH AND TIGHT WITH ALL DAY CONTROL. GREAT FOR A RUFFLED FEATHERS LOOK.",22,Matte,,,,,3 OZ,,8 OZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INGREDIENTS,USAGE,,"WATER (AQUA), PARAFFINUM LIQUIDUM, PEG-8 BEESWAX, CETEARYL ALCOHOL, OZOKERITE WAX, POLYQUATERNIUM-69, GLYCERIN, HYDROGENATED CASTOR OIL, PEG-40 HYDROGENATED CASTOR OIL, GLYCERYL BEHENATE, TRIETHANOLAMINE, PVP (FIRMING AGENT), FRAGRANCE (PARFUM), BUTYLENE GLYCOL, CARBOMER, SODIUM POLYACRYLATE, HYDROGENATED POLYDECENE, COPERNICIA CERIFERA (CARNAUBA) WAX, BEESWAX, TRIDECETH-6, DISODIUM EDTA,  PHENOXYETHANOL, ETHYLHEXYLGLYCERIN, PEG-45M, BENTONITE",SCOOP OUT DESIRED AMOUNT OF PRODUCT. MASSAGE BETWEEN PALMS. SLICK THROUGH TOWEL DRY HAIR. STYLE WITHOUT CARE.,
